CC,DT,FF,ET,TEMP,VP,WDF,LUMPY
81,6.6,24.49,0.8,0,4.4,10.8,1
81,6.6,24.49,0.8,0,4.4,10.8,1
81,6.6,24.49,0.8,0,4.4,10.8,1
81,6.6,24.49,0.8,0,4.4,10.8,1
73.6,7.7,14.72,0.8,5,6.5,10.6,1
73.6,7.7,14.72,0.8,5,6.5,10.6,1
71.1,8.3,12.33,0.9,6.2,6.9,11.11,1
71.1,8.3,12.33,0.9,6.2,6.9,11.11,1
71.1,8.3,12.33,0.9,6.2,6.9,11.11,1
82,6,26.09,0.7,-1.8,3.8,10.45,1
82,6,26.09,0.7,-1.8,3.8,10.45,1
82,6,26.09,0.7,-1.8,3.8,10.45,1
82,6,26.09,0.7,-1.8,3.8,10.45,1
82,6,26.09,0.7,-1.8,3.8,10.45,1
82,6,26.09,0.7,-1.8,3.8,10.45,1
78,5.9,26.58,0.9,-2.3,3.1,10.44,1
78,5.9,26.58,0.9,-2.3,3.1,10.44,1
78,5.9,26.58,0.9,-2.3,3.1,10.44,1
78,5.9,26.58,0.9,-2.3,3.1,10.44,1
73.6,7.7,14.72,0.8,5,6.5,10.6,1
73.6,7.7,14.72,0.8,5,6.5,10.6,1
73.6,7.7,14.72,0.8,5,6.5,10.6,1
73.6,7.7,14.72,0.8,5,6.5,10.6,1
73.6,7.7,14.72,0.8,5,6.5,10.6,1
73.6,7.7,14.72,0.8,5,6.5,10.6,1
73.6,7.7,14.72,0.8,5,6.5,10.6,1
73.6,7.7,14.72,0.8,5,6.5,10.6,1
73.6,7.7,14.72,0.8,5,6.5,10.6,1
73.6,7.7,14.72,0.8,5,6.5,10.6,1
73.6,7.7,14.72,0.8,5,6.5,10.6,1
73.6,7.7,14.72,0.8,5,6.5,10.6,1
73.6,7.7,14.72,0.8,5,6.5,10.6,1
73.6,7.7,14.72,0.8,5,6.5,10.6,1
73.6,7.7,14.72,0.8,5,6.5,10.6,1
73.6,7.7,14.72,0.8,5,6.5,10.6,1
73.6,7.7,14.72,0.8,5,6.5,10.6,1
73.6,7.7,14.72,0.8,5,6.5,10.6,1
73.6,7.7,14.72,0.8,5,6.5,10.6,1
73.6,7.7,14.72,0.8,5,6.5,10.6,1
73.6,7.7,14.72,0.8,5,6.5,10.6,1
73.6,7.7,14.72,0.8,5,6.5,10.6,1
73.6,7.7,14.72,0.8,5,6.5,10.6,1
73.6,7.7,14.72,0.8,5,6.5,10.6,1
73.6,7.7,14.72,0.8,5,6.5,10.6,1
73.6,7.7,14.72,0.8,5,6.5,10.6,1
73.6,7.7,14.72,0.8,5,6.5,10.6,1
73.6,7.7,14.72,0.8,5,6.5,10.6,1
73.6,7.7,14.72,0.8,5,6.5,10.6,1
78,7.3,23.68,0.8,1.1,4.8,11.21,1
71.9,8.4,8.31,1.1,7.9,7.5,10.82,1
71.9,8.4,8.31,1.1,7.9,7.5,10.82,1
71.9,8.4,8.31,1.1,7.9,7.5,10.82,1
79.1,7.1,24.03,0.8,0.7,4.7,11.17,1
71.1,8.3,12.33,0.9,6.2,6.9,11.11,1
73.6,7.7,14.72,0.8,5,6.5,10.6,1
82,6,26.09,0.7,-1.8,3.8,10.45,1
81,6.6,24.49,0.8,0,4.4,10.8,1
71.1,8.3,12.33,0.9,6.2,6.9,11.11,1
71.1,8.3,12.33,0.9,6.2,6.9,11.11,1
71.1,8.3,12.33,0.9,6.2,6.9,11.11,1
71.1,8.3,12.33,0.9,6.2,6.9,11.11,1
71.1,8.3,12.33,0.9,6.2,6.9,11.11,1
72.5,7.5,23.8,0.8,1.1,4.7,11.5,1
71.9,8.4,8.31,1.1,7.9,7.5,10.82,1
71.9,8.4,8.31,1.1,7.9,7.5,10.82,1
79.1,7.1,24.03,0.8,0.7,4.7,11.17,1
79.1,7.1,24.03,0.8,0.7,4.7,11.17,1
79.1,7.1,24.03,0.8,0.7,4.7,11.17,1
79.1,7.1,24.03,0.8,0.7,4.7,11.17,1
79.1,7.1,24.03,0.8,0.7,4.7,11.17,1
79.1,7.1,24.03,0.8,0.7,4.7,11.17,1
79.1,7.1,24.03,0.8,0.7,4.7,11.17,1
82,6,26.09,0.7,-1.8,3.8,10.45,1
82,6,26.09,0.7,-1.8,3.8,10.45,1
82,6,26.09,0.7,-1.8,3.8,10.45,1
82,6,26.09,0.7,-1.8,3.8,10.45,1
